题型,题干,选项,选项数量,答案,解析,所属知识点,难度,是否题冒题,是否题冒
2,多选测试38,A．雌酮      B．孕酮     C．睾酮        D．雌三醇,4,ABCD,,13,1,0,0
2,多选测试39,A．DNA的复制    B．切除引物    C．参与修复    D．解开双螺旋,4,ABCD,,13,1,0,0
2,多选测试40,A．微粒体        B．内质网       C．线粒体      D．细胞膜,4,ABCD,,13,1,0,0
3,判断测试41,,,对,,13,1,0,0
3,判断测试42,,,对,,13,1,0,0
3,判断测试43,,,对,,13,1,0,0
3,判断测试44,,,对,,13,1,0,0
3,判断测试45,,,对,,13,1,0,0
5,填空测试（）46,,,填空答案1,,13,2,1,1
5,填空测试（）47,,,填空答案2,,13,2,1,1
5,填空测试（）48,,,填空答案3,,13,2,1,1
5,填空测试（）49,,,填空答案4,,13,2,1,1
5,填空测试（）50,,,填空答案5,,13,2,1,1
6,问答题测试51,,,问答答案1,,13,2,1,1
6,问答题测试52,,,问答答案2,,13,2,1,1
